장소,위도,경도
출발지점,37.484081,127.031534
순찰지점 1,37.479223,127.039906
순찰지점 2,37.469696,127.039032
순찰지점 3,37.463176,127.035512
순찰지점 4,37.465015,127.043492
순찰지점 5,37.451713,127.05161
순찰지점 6,37.446967,127.056131
순찰지점 7,37.456154,127.059116
순찰지점 8,37.461398,127.050095
순찰지점 9,37.470796,127.049181
순찰지점 10,37.476883,127.045321
순찰지점 11,37.464636,127.025938
순찰지점 12,37.474668,127.032432
복귀지점,37.484081,127.031534
