장소,위도,경도
출발지점,37.484081,127.031534
순찰지점 1,37.48547,127.031617
순찰지점 2,37.49126,127.02974
순찰지점 3,37.490501,127.02305
순찰지점 4,37.485769,127.021457
순찰지점 5,37.485813,127.015791
순찰지점 6,37.485725,127.00982
순찰지점 7,37.456627,127.015621
순찰지점 8,37.464636,127.025938
순찰지점 9,37.471252,127.024611
순찰지점 10,37.474668,127.032432
순찰지점 11,37.479223,127.039906
순찰지점 12,37.484053,127.037271
순찰지점 13,37.476883,127.045321
순찰지점 14,37.469696,127.039032
순찰지점 15,37.463176,127.035512
복귀지점,37.484081,127.031534
