epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1218.71,0.83052,0.62704,0.9635,0.83376,0.85935,0.91287,0.75006,0.74209,0.51377,0.90965,0.005842,0.005842,0.005842
44,1448.28,0.82816,0.62387,0.96431,0.83366,0.85955,0.91313,0.75038,0.74189,0.51371,0.90931,0.005743,0.005743,0.005743
45,1681.51,0.83038,0.62447,0.96538,0.83025,0.8615,0.91345,0.75085,0.74164,0.51288,0.90898,0.005644,0.005644,0.005644
46,1916.13,0.82913,0.62144,0.96427,0.82797,0.86521,0.91372,0.75116,0.74124,0.51155,0.90882,0.005545,0.005545,0.005545
47,2134.54,0.82738,0.61893,0.96339,0.82785,0.86447,0.91399,0.75149,0.74131,0.51107,0.90881,0.005446,0.005446,0.005446
48,2370.88,0.82623,0.61736,0.96248,0.83001,0.86186,0.91435,0.752,0.74097,0.50955,0.90861,0.005347,0.005347,0.005347
49,2601.25,0.82524,0.61694,0.9629,0.83053,0.8615,0.91446,0.75192,0.74104,0.50884,0.90842,0.005248,0.005248,0.005248
50,2825.35,0.82338,0.61649,0.96125,0.83251,0.85935,0.91486,0.75195,0.74103,0.50835,0.90833,0.005149,0.005149,0.005149
51,3048.82,0.81994,0.61192,0.96236,0.83217,0.86111,0.91484,0.75251,0.7408,0.50771,0.90817,0.00505,0.00505,0.00505
52,3280.19,0.81919,0.61183,0.96012,0.832,0.86184,0.91503,0.75241,0.7409,0.50716,0.90812,0.004951,0.004951,0.004951
53,3523.82,0.81866,0.60972,0.96162,0.8325,0.85956,0.91531,0.75229,0.74076,0.50653,0.90789,0.004852,0.004852,0.004852
54,3760.23,0.81643,0.60707,0.96001,0.83304,0.86292,0.91553,0.75259,0.74039,0.50607,0.90769,0.004753,0.004753,0.004753
55,3991.34,0.81904,0.60717,0.96058,0.83391,0.86292,0.91577,0.75314,0.74057,0.50567,0.90767,0.004654,0.004654,0.004654
56,4215.02,0.81376,0.60381,0.95762,0.83461,0.86185,0.9158,0.75343,0.74031,0.50451,0.90728,0.004555,0.004555,0.004555
57,4431.83,0.81513,0.60248,0.96009,0.83422,0.86329,0.91595,0.75343,0.73999,0.50439,0.90713,0.004456,0.004456,0.004456
58,4650.1,0.81513,0.60356,0.95884,0.83033,0.8657,0.91614,0.75356,0.73953,0.50392,0.90684,0.004357,0.004357,0.004357
59,4874.16,0.81282,0.59938,0.95838,0.82978,0.86652,0.91635,0.75413,0.73914,0.50296,0.90669,0.004258,0.004258,0.004258
60,5135.61,0.81291,0.59946,0.95789,0.83052,0.86688,0.91638,0.75439,0.7389,0.50201,0.90645,0.004159,0.004159,0.004159
61,5398.05,0.80901,0.59718,0.95722,0.83121,0.86401,0.91675,0.75496,0.7385,0.50073,0.90636,0.00406,0.00406,0.00406
62,5637.47,0.80904,0.59787,0.95804,0.82901,0.86473,0.91699,0.75535,0.73806,0.49981,0.90629,0.003961,0.003961,0.003961
63,5876.49,0.80871,0.595,0.95654,0.82968,0.86522,0.91727,0.75604,0.73787,0.49876,0.90615,0.003862,0.003862,0.003862
64,6116.71,0.80756,0.59259,0.95582,0.82937,0.86677,0.9174,0.75599,0.73765,0.49851,0.90591,0.003763,0.003763,0.003763
65,6358.65,0.80786,0.5911,0.95722,0.82901,0.8676,0.91824,0.75648,0.73719,0.49789,0.90583,0.003664,0.003664,0.003664
66,6600.07,0.80555,0.5915,0.95718,0.82712,0.86868,0.91834,0.75732,0.73673,0.49712,0.90584,0.003565,0.003565,0.003565
67,6840.62,0.80361,0.5885,0.95264,0.82744,0.86903,0.91853,0.75756,0.73652,0.4959,0.90551,0.003466,0.003466,0.003466
68,7109.8,0.80269,0.58696,0.9545,0.82957,0.86976,0.91894,0.75754,0.7367,0.49564,0.90572,0.003367,0.003367,0.003367
69,7402.28,0.80181,0.58607,0.95164,0.83013,0.86975,0.91938,0.75779,0.73623,0.49462,0.90542,0.003268,0.003268,0.003268
70,7693.17,0.79924,0.58194,0.95072,0.83272,0.86868,0.91964,0.758,0.73626,0.49417,0.90535,0.003169,0.003169,0.003169
71,7961.09,0.79943,0.58303,0.95193,0.83525,0.86652,0.92007,0.75833,0.73615,0.4931,0.90513,0.00307,0.00307,0.00307
