epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,4647.54,1.24339,2.88987,1.36908,1.21441,0.67793,0.57837,0.65406,0.46237,0.71872,0.51802,0.60609,0.36821,1.08413,2.67789,1.04652,1.09477,0.007129,0.007129,0.007129
31,4805.02,1.23602,2.88409,1.36871,1.20693,0.71149,0.56023,0.65561,0.46319,0.71717,0.526,0.60689,0.36853,1.08643,2.69162,1.04215,1.09197,0.00703,0.00703,0.00703
32,4959.96,1.24127,2.88497,1.36922,1.20979,0.68964,0.581,0.65826,0.46759,0.6712,0.53733,0.6022,0.36811,1.0869,2.67889,1.03813,1.09288,0.006931,0.006931,0.006931
33,5116.04,1.23151,2.88062,1.36092,1.20905,0.72838,0.56071,0.65915,0.4686,0.72319,0.52938,0.61111,0.37075,1.08251,2.66617,1.03512,1.0928,0.006832,0.006832,0.006832
34,5267.24,1.22874,2.87018,1.35424,1.2013,0.70673,0.56754,0.6573,0.46447,0.73564,0.52404,0.60847,0.37044,1.0804,2.67614,1.03688,1.09087,0.006733,0.006733,0.006733
35,5416.79,1.22021,2.85568,1.34423,1.19919,0.71696,0.58384,0.66252,0.46924,0.71667,0.53266,0.60989,0.37177,1.07844,2.68599,1.02759,1.09101,0.006634,0.006634,0.006634
36,5567.33,1.21915,2.85518,1.33555,1.19983,0.71412,0.58312,0.66322,0.47235,0.71882,0.54055,0.61401,0.37394,1.07631,2.68587,1.01972,1.09129,0.006535,0.006535,0.006535
37,5716.49,1.21976,2.85616,1.33349,1.19902,0.73193,0.57045,0.66467,0.47191,0.72581,0.53757,0.61694,0.37575,1.07859,2.66791,1.01586,1.09045,0.006436,0.006436,0.006436
38,5867.06,1.22167,2.85745,1.33484,1.19739,0.7372,0.57439,0.66825,0.47943,0.72408,0.54294,0.61856,0.37817,1.0708,2.66582,1.00885,1.08438,0.006337,0.006337,0.006337
39,6024.64,1.21469,2.84899,1.32724,1.19223,0.74577,0.5697,0.67077,0.4817,0.7402,0.53954,0.621,0.3801,1.065,2.66154,0.9986,1.08127,0.006238,0.006238,0.006238
40,6182.2,1.21493,2.85031,1.31622,1.19451,0.73051,0.57171,0.66855,0.48009,0.71307,0.55068,0.62356,0.37789,1.0598,2.65548,0.99806,1.07839,0.006139,0.006139,0.006139
41,6340.83,1.21059,2.82787,1.31696,1.19242,0.76403,0.55853,0.67253,0.48475,0.75106,0.53729,0.62505,0.38109,1.05592,2.65029,0.99531,1.07538,0.00604,0.00604,0.00604
42,6501.18,1.20611,2.83176,1.30528,1.18856,0.75853,0.56855,0.67641,0.48625,0.74685,0.54511,0.62715,0.38222,1.05552,2.65315,0.99038,1.07541,0.005941,0.005941,0.005941
43,6662.66,1.19828,2.82391,1.2993,1.18989,0.73527,0.57609,0.67807,0.48609,0.74915,0.54171,0.62857,0.38247,1.05351,2.64798,0.99182,1.07454,0.005842,0.005842,0.005842
44,6821.29,1.20543,2.83993,1.311,1.18933,0.73635,0.58416,0.68107,0.4899,0.75857,0.5372,0.63123,0.38246,1.05511,2.64946,0.98908,1.07455,0.005743,0.005743,0.005743
45,6978.78,1.207,2.82879,1.29925,1.19017,0.74078,0.57559,0.67748,0.486,0.75641,0.53827,0.62792,0.38098,1.05281,2.64128,0.98832,1.07388,0.005644,0.005644,0.005644
46,7134.7,1.20221,2.82746,1.29566,1.18637,0.72021,0.58871,0.67572,0.48625,0.72519,0.54448,0.62581,0.38074,1.05323,2.63762,0.98652,1.07344,0.005545,0.005545,0.005545
47,7289.78,1.20018,2.81407,1.29107,1.18254,0.74032,0.57675,0.67483,0.48546,0.75707,0.53345,0.62659,0.38152,1.05253,2.63662,0.98685,1.07171,0.005446,0.005446,0.005446
48,7444.28,1.19193,2.80398,1.28163,1.18002,0.73484,0.57994,0.67623,0.48534,0.75018,0.53727,0.62408,0.38041,1.05255,2.63255,0.98718,1.07223,0.005347,0.005347,0.005347
49,7599.24,1.19251,2.80452,1.28451,1.17946,0.74006,0.57595,0.6774,0.4862,0.75932,0.52995,0.62479,0.38226,1.05089,2.6273,0.98654,1.07038,0.005248,0.005248,0.005248
50,7753.32,1.18408,2.80212,1.27955,1.17913,0.7485,0.57192,0.67807,0.48823,0.77138,0.53194,0.62726,0.3831,1.05019,2.62911,0.9827,1.06995,0.005149,0.005149,0.005149
51,7907.63,1.18675,2.79455,1.26838,1.17502,0.76223,0.56496,0.67805,0.48761,0.7754,0.52633,0.62681,0.38401,1.04968,2.63013,0.98147,1.06979,0.00505,0.00505,0.00505
52,8061.54,1.18998,2.8101,1.27804,1.17842,0.76552,0.56174,0.67824,0.48901,0.76511,0.52949,0.62824,0.38426,1.04974,2.6263,0.98029,1.06963,0.004951,0.004951,0.004951
53,8215.37,1.17812,2.78238,1.2595,1.17157,0.73559,0.5805,0.68015,0.48864,0.76867,0.52901,0.62995,0.38425,1.04951,2.62689,0.97975,1.07003,0.004852,0.004852,0.004852
54,8370.66,1.18001,2.78791,1.26209,1.17322,0.74176,0.57874,0.68,0.48872,0.77548,0.52727,0.63109,0.38501,1.04889,2.62549,0.97876,1.06981,0.004753,0.004753,0.004753
55,8524,1.18064,2.79178,1.26615,1.17015,0.73755,0.57982,0.68084,0.48847,0.78269,0.52789,0.63452,0.38541,1.04841,2.62411,0.97595,1.06985,0.004654,0.004654,0.004654
56,8680,1.17599,2.76886,1.25065,1.17061,0.74006,0.57955,0.6816,0.48868,0.7726,0.53052,0.63469,0.3861,1.04785,2.6226,0.97472,1.06945,0.004555,0.004555,0.004555
57,8833.95,1.17351,2.76962,1.24566,1.16806,0.74048,0.58016,0.68208,0.48903,0.74142,0.54584,0.63494,0.38577,1.04651,2.61838,0.97207,1.06878,0.004456,0.004456,0.004456
58,8988.82,1.17095,2.77164,1.24696,1.1688,0.74455,0.57849,0.68201,0.48944,0.73891,0.54616,0.63535,0.38696,1.04619,2.61729,0.97062,1.0685,0.004357,0.004357,0.004357
59,9143.71,1.17717,2.77077,1.24569,1.16839,0.73207,0.58535,0.68224,0.49013,0.76587,0.53592,0.6358,0.38802,1.0449,2.61494,0.9705,1.06759,0.004258,0.004258,0.004258
60,9300.08,1.16669,2.76096,1.23332,1.16076,0.73487,0.58342,0.68298,0.49092,0.77585,0.5318,0.6355,0.38856,1.04354,2.6132,0.9691,1.06712,0.004159,0.004159,0.004159
61,9456.88,1.16897,2.76753,1.2348,1.16494,0.72845,0.59138,0.68378,0.49108,0.77617,0.53328,0.63593,0.38895,1.04334,2.61396,0.96825,1.06677,0.00406,0.00406,0.00406
62,9609.75,1.15733,2.74348,1.22139,1.157,0.72178,0.59257,0.68475,0.4916,0.77929,0.53562,0.63671,0.38911,1.04318,2.61444,0.96713,1.06678,0.003961,0.003961,0.003961
63,9761.01,1.16004,2.75593,1.22246,1.15623,0.73901,0.58501,0.68478,0.4913,0.77559,0.53785,0.63749,0.38997,1.04296,2.61264,0.96638,1.06656,0.003862,0.003862,0.003862
64,9912.72,1.16161,2.75748,1.22394,1.16007,0.73466,0.58804,0.68516,0.49121,0.76587,0.53868,0.63871,0.38996,1.04278,2.61263,0.96549,1.06606,0.003763,0.003763,0.003763
65,10064.5,1.15965,2.75321,1.21768,1.15813,0.7361,0.58722,0.68518,0.49149,0.75535,0.5471,0.63877,0.38963,1.04156,2.61058,0.96425,1.0655,0.003664,0.003664,0.003664
