epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,29633.1,0.78491,0.92486,0.96792,0.50706,0.81193,0.63745,0.54588,0.62701,0.943,0.88753,0.005842,0.005842,0.005842
44,30249.9,0.78286,0.92272,0.9691,0.50705,0.81346,0.63785,0.54625,0.62635,0.94219,0.88747,0.005743,0.005743,0.005743
45,30868,0.78081,0.9197,0.96973,0.50863,0.81157,0.63833,0.54685,0.62563,0.94187,0.88763,0.005644,0.005644,0.005644
46,31484.1,0.78031,0.92166,0.96832,0.50891,0.8113,0.63888,0.54743,0.62522,0.94173,0.88755,0.005545,0.005545,0.005545
47,32102.3,0.77642,0.91679,0.96667,0.50939,0.80947,0.63898,0.54753,0.62462,0.94107,0.88721,0.005446,0.005446,0.005446
48,32721.6,0.77766,0.91848,0.96686,0.51005,0.8096,0.63951,0.54808,0.62419,0.94067,0.88699,0.005347,0.005347,0.005347
49,33339.6,0.77858,0.91594,0.96552,0.5114,0.80835,0.63978,0.54848,0.62413,0.94054,0.88649,0.005248,0.005248,0.005248
50,33960.4,0.77727,0.91516,0.96644,0.51024,0.80993,0.64012,0.54861,0.62389,0.94091,0.88627,0.005149,0.005149,0.005149
51,34579.3,0.77647,0.91281,0.9652,0.5121,0.80809,0.64045,0.54896,0.62373,0.94077,0.88602,0.00505,0.00505,0.00505
52,35194.2,0.7742,0.91262,0.9651,0.51375,0.80577,0.64111,0.54959,0.62335,0.93938,0.88598,0.004951,0.004951,0.004951
53,35808,0.77234,0.91006,0.96304,0.51379,0.80579,0.64126,0.54989,0.62293,0.93889,0.8855,0.004852,0.004852,0.004852
54,36420.2,0.77402,0.90864,0.96387,0.51426,0.8058,0.64154,0.55017,0.62257,0.93865,0.88519,0.004753,0.004753,0.004753
55,37029.9,0.77141,0.90698,0.96309,0.51432,0.8056,0.64197,0.55052,0.62216,0.9382,0.88511,0.004654,0.004654,0.004654
56,37637.1,0.77164,0.90743,0.96324,0.51453,0.80609,0.64243,0.55113,0.62167,0.93732,0.88511,0.004555,0.004555,0.004555
57,38254.3,0.76865,0.90461,0.96235,0.51528,0.80464,0.64269,0.55144,0.62109,0.93702,0.88483,0.004456,0.004456,0.004456
58,38864.2,0.76807,0.90318,0.96255,0.51587,0.80436,0.64323,0.55198,0.62063,0.93664,0.88479,0.004357,0.004357,0.004357
59,39474.3,0.76778,0.90275,0.9614,0.51771,0.8026,0.6436,0.55236,0.6202,0.93577,0.88455,0.004258,0.004258,0.004258
60,40085.6,0.76507,0.90219,0.9609,0.51804,0.80275,0.6438,0.55265,0.6197,0.93515,0.88431,0.004159,0.004159,0.004159
61,40696.2,0.76529,0.90051,0.96124,0.51776,0.80371,0.64419,0.55312,0.61908,0.93505,0.88431,0.00406,0.00406,0.00406
62,41307.4,0.76464,0.89859,0.96063,0.51783,0.80441,0.64449,0.55348,0.61856,0.93481,0.88411,0.003961,0.003961,0.003961
63,41920.5,0.7631,0.89706,0.96028,0.51823,0.80491,0.64493,0.55402,0.61817,0.93423,0.88414,0.003862,0.003862,0.003862
64,42532,0.76151,0.89468,0.95841,0.51829,0.80517,0.64545,0.55452,0.61797,0.93362,0.88392,0.003763,0.003763,0.003763
65,43143.2,0.76094,0.89314,0.95932,0.51902,0.80561,0.64573,0.55491,0.61757,0.93315,0.88383,0.003664,0.003664,0.003664
66,43755.4,0.75911,0.89252,0.95758,0.51965,0.8053,0.646,0.55531,0.61742,0.93245,0.88331,0.003565,0.003565,0.003565
67,44367.6,0.75875,0.88918,0.95717,0.52089,0.80414,0.64637,0.5556,0.61713,0.93272,0.88302,0.003466,0.003466,0.003466
68,44979.9,0.75753,0.88979,0.95795,0.52107,0.80452,0.6468,0.55612,0.61669,0.93267,0.88288,0.003367,0.003367,0.003367
69,45593.5,0.75642,0.88619,0.95684,0.52249,0.80274,0.64721,0.55661,0.61614,0.93236,0.88259,0.003268,0.003268,0.003268
70,46209,0.75446,0.8852,0.95654,0.52258,0.8025,0.64748,0.55688,0.61559,0.93196,0.88224,0.003169,0.003169,0.003169
71,46822.6,0.75364,0.88511,0.95525,0.52323,0.80232,0.64762,0.5571,0.61531,0.93179,0.88192,0.00307,0.00307,0.00307
72,47433.6,0.75251,0.88101,0.95535,0.52304,0.80328,0.6479,0.55751,0.61484,0.93159,0.88176,0.002971,0.002971,0.002971
73,48045.5,0.7516,0.87838,0.9551,0.52348,0.80308,0.64843,0.55822,0.61433,0.93139,0.88168,0.002872,0.002872,0.002872
74,48660.4,0.74902,0.8774,0.95362,0.52425,0.80316,0.64879,0.55853,0.61411,0.93089,0.88145,0.002773,0.002773,0.002773
75,49275.5,0.74763,0.87565,0.95369,0.52478,0.80203,0.64914,0.55892,0.61381,0.9305,0.88102,0.002674,0.002674,0.002674
76,49885.4,0.74796,0.87486,0.95331,0.52591,0.80053,0.64959,0.5594,0.61347,0.93063,0.88096,0.002575,0.002575,0.002575
77,50500.7,0.74696,0.87249,0.95148,0.52604,0.80055,0.6499,0.55975,0.6132,0.93075,0.88047,0.002476,0.002476,0.002476
78,51116.4,0.74329,0.8694,0.95118,0.52632,0.80145,0.65035,0.56025,0.61293,0.93072,0.88007,0.002377,0.002377,0.002377
79,703.227,0.73741,0.8623,0.94984,0.52666,0.8007,0.65058,0.5604,0.61238,0.92983,0.87983,0.002278,0.002278,0.002278
80,1343.5,0.7391,0.86378,0.94984,0.5275,0.79922,0.65082,0.56062,0.61193,0.9291,0.87979,0.002179,0.002179,0.002179
81,2012.82,0.73916,0.86343,0.94947,0.52741,0.79864,0.65082,0.56066,0.61139,0.92886,0.87964,0.00208,0.00208,0.00208
82,2725.46,0.73857,0.86203,0.9487,0.52799,0.79811,0.65099,0.56084,0.61107,0.9285,0.87942,0.001981,0.001981,0.001981
83,3441.72,0.73595,0.86109,0.94887,0.52847,0.79799,0.65126,0.56117,0.61052,0.92807,0.87918,0.001882,0.001882,0.001882
84,4105.45,0.73281,0.85843,0.94865,0.53005,0.79657,0.65175,0.56185,0.60981,0.92747,0.87917,0.001783,0.001783,0.001783
85,4779.66,0.73188,0.85405,0.94804,0.53017,0.79647,0.65194,0.56208,0.60926,0.92749,0.87911,0.001684,0.001684,0.001684
86,5453.74,0.73082,0.85209,0.94661,0.53125,0.7951,0.65232,0.56256,0.60893,0.92731,0.87891,0.001585,0.001585,0.001585
87,6126.5,0.7282,0.85065,0.94688,0.5308,0.79643,0.65261,0.56298,0.60847,0.92733,0.87883,0.001486,0.001486,0.001486
88,6799.2,0.72692,0.84911,0.94568,0.53241,0.79475,0.65289,0.56328,0.60805,0.92688,0.87875,0.001387,0.001387,0.001387
89,7469.16,0.7248,0.84584,0.94339,0.53385,0.79358,0.65327,0.56376,0.60778,0.92733,0.87827,0.001288,0.001288,0.001288
90,8140.13,0.72455,0.84315,0.94434,0.53485,0.79284,0.65351,0.5642,0.60736,0.92736,0.8782,0.001189,0.001189,0.001189
