epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,6583.71,1.24413,2.83122,1.37123,1.2391,0.69163,0.59045,0.66264,0.47029,0.69091,0.54661,0.61079,0.37452,1.09193,2.72141,1.09593,1.15601,0.007129,0.007129,0.007129
31,6800.48,1.2363,2.81845,1.35478,1.23428,0.70428,0.59034,0.66589,0.47261,0.69784,0.54923,0.61267,0.37497,1.08921,2.70726,1.08381,1.15288,0.00703,0.00703,0.00703
32,7006.16,1.22653,2.79486,1.34167,1.23069,0.69093,0.60762,0.66697,0.47139,0.68695,0.55491,0.61613,0.37538,1.08476,2.68268,1.08033,1.1509,0.006931,0.006931,0.006931
33,7229.34,1.23252,2.81298,1.34338,1.22954,0.72202,0.59257,0.66906,0.46957,0.69484,0.55734,0.61504,0.37543,1.08573,2.68685,1.08263,1.15023,0.006832,0.006832,0.006832
34,7457.93,1.2238,2.79079,1.3468,1.23125,0.70525,0.59294,0.66976,0.47479,0.7096,0.54748,0.61771,0.37709,1.08409,2.68399,1.07692,1.14643,0.006733,0.006733,0.006733
35,7683.9,1.223,2.78766,1.33718,1.23243,0.71148,0.59088,0.67373,0.47789,0.71133,0.54946,0.62445,0.3796,1.08435,2.6823,1.06491,1.1493,0.006634,0.006634,0.006634
36,7911.44,1.21974,2.78673,1.33128,1.2223,0.71258,0.59343,0.6744,0.48037,0.70673,0.55967,0.62257,0.3809,1.07987,2.6853,1.05966,1.14349,0.006535,0.006535,0.006535
37,8124.28,1.21421,2.76844,1.32314,1.22115,0.72739,0.58835,0.67375,0.47965,0.71855,0.54824,0.62111,0.38269,1.0797,2.69074,1.05748,1.14526,0.006436,0.006436,0.006436
38,8338.39,1.21163,2.76764,1.31475,1.22063,0.72758,0.59138,0.67771,0.48349,0.72939,0.55591,0.62733,0.38381,1.07471,2.68399,1.04842,1.14053,0.006337,0.006337,0.006337
39,8552.04,1.21067,2.77112,1.31008,1.22236,0.70806,0.60355,0.6775,0.48287,0.71393,0.55966,0.62757,0.3841,1.07179,2.67806,1.04328,1.13907,0.006238,0.006238,0.006238
40,8781.91,1.2066,2.76025,1.30165,1.21194,0.69928,0.61019,0.6805,0.48669,0.71926,0.56157,0.63325,0.38722,1.06697,2.67788,1.03869,1.13826,0.006139,0.006139,0.006139
41,9006.01,1.20583,2.75626,1.29603,1.21318,0.71013,0.60584,0.68373,0.48816,0.71769,0.56469,0.63568,0.38934,1.06345,2.67385,1.04062,1.13705,0.00604,0.00604,0.00604
42,9215.94,1.20151,2.75264,1.29252,1.21201,0.68979,0.62185,0.68489,0.48865,0.70579,0.5689,0.6358,0.38844,1.0604,2.66927,1.03795,1.1339,0.005941,0.005941,0.005941
43,9428.46,1.20251,2.74496,1.2996,1.2143,0.68468,0.61908,0.68834,0.49114,0.73217,0.55168,0.63905,0.39099,1.06056,2.65709,1.03289,1.13313,0.005842,0.005842,0.005842
44,9643.74,1.18978,2.74038,1.28195,1.20713,0.72613,0.5938,0.68767,0.49345,0.71538,0.5617,0.63852,0.39332,1.05935,2.65719,1.02782,1.13294,0.005743,0.005743,0.005743
