epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,33994.3,0.8601,1.07101,0.94736,0.48311,0.79893,0.55058,0.44351,0.74495,0.97208,0.90401,0.005842,0.005842,0.005842
44,34678,0.85987,1.07017,0.94688,0.48298,0.80085,0.55064,0.4436,0.74439,0.97127,0.90379,0.005743,0.005743,0.005743
45,35357.4,0.85736,1.06769,0.94625,0.48388,0.79744,0.55111,0.44386,0.74405,0.97079,0.90364,0.005644,0.005644,0.005644
46,36025.5,0.85769,1.06673,0.94709,0.48374,0.79809,0.55145,0.44417,0.74328,0.96998,0.90325,0.005545,0.005545,0.005545
47,36692.2,0.856,1.06535,0.9459,0.484,0.79923,0.55205,0.44457,0.74271,0.96931,0.90293,0.005446,0.005446,0.005446
48,37368,0.85463,1.06396,0.9452,0.48375,0.80275,0.55236,0.44501,0.7424,0.96876,0.90277,0.005347,0.005347,0.005347
49,38045.6,0.85444,1.06559,0.94485,0.48403,0.80277,0.55277,0.4455,0.74195,0.96826,0.90248,0.005248,0.005248,0.005248
50,38718.4,0.85287,1.0618,0.9437,0.48433,0.80309,0.55335,0.4459,0.74145,0.96778,0.90223,0.005149,0.005149,0.005149
51,39395.9,0.85155,1.06268,0.94431,0.4854,0.80224,0.55356,0.44618,0.74108,0.96684,0.90203,0.00505,0.00505,0.00505
52,40073.7,0.85003,1.06052,0.94256,0.48538,0.80143,0.5537,0.4467,0.74073,0.96609,0.90183,0.004951,0.004951,0.004951
53,40744.2,0.84921,1.0584,0.94304,0.48575,0.8011,0.55383,0.44685,0.74041,0.9653,0.90165,0.004852,0.004852,0.004852
54,41417.2,0.84928,1.05827,0.943,0.48601,0.80167,0.5542,0.44715,0.73988,0.96478,0.90143,0.004753,0.004753,0.004753
55,42085,0.84695,1.05674,0.94304,0.48531,0.80464,0.55446,0.44729,0.73946,0.96419,0.90136,0.004654,0.004654,0.004654
56,42754.5,0.84671,1.05546,0.94197,0.48549,0.80503,0.55456,0.44736,0.73911,0.96359,0.90113,0.004555,0.004555,0.004555
57,43426.1,0.84357,1.05411,0.9409,0.48544,0.80499,0.55517,0.44804,0.7385,0.96296,0.90083,0.004456,0.004456,0.004456
58,44100.2,0.84252,1.05152,0.94082,0.48616,0.8049,0.55526,0.44835,0.73808,0.9623,0.90055,0.004357,0.004357,0.004357
59,44773.9,0.84326,1.05157,0.9404,0.48609,0.80482,0.55543,0.44859,0.73746,0.96184,0.90017,0.004258,0.004258,0.004258
60,45449.8,0.84118,1.05041,0.94028,0.48615,0.80596,0.55591,0.44911,0.73685,0.96104,0.89996,0.004159,0.004159,0.004159
61,46125,0.84097,1.04963,0.94022,0.48595,0.80663,0.55646,0.44955,0.73661,0.96037,0.89987,0.00406,0.00406,0.00406
62,46801.5,0.83848,1.04795,0.93881,0.48574,0.80726,0.55669,0.44999,0.73592,0.95986,0.89949,0.003961,0.003961,0.003961
63,47476.2,0.83807,1.04725,0.93962,0.48641,0.80703,0.55732,0.4504,0.7355,0.95919,0.89941,0.003862,0.003862,0.003862
64,48149.8,0.8369,1.04523,0.93809,0.48724,0.80654,0.55738,0.45073,0.73511,0.95831,0.89931,0.003763,0.003763,0.003763
65,48825.2,0.83449,1.04212,0.93808,0.48659,0.80779,0.55774,0.45095,0.7344,0.95757,0.8991,0.003664,0.003664,0.003664
66,49495.8,0.83363,1.04119,0.93698,0.48713,0.80599,0.55787,0.45124,0.7339,0.95686,0.89882,0.003565,0.003565,0.003565
67,50166.9,0.83255,1.04165,0.93633,0.4875,0.8061,0.55843,0.45149,0.73334,0.95587,0.89857,0.003466,0.003466,0.003466
68,50840.4,0.83021,1.03911,0.93623,0.48807,0.80497,0.55885,0.45188,0.73264,0.9553,0.89828,0.003367,0.003367,0.003367
69,51515.3,0.83061,1.03753,0.93609,0.48879,0.80434,0.5591,0.45225,0.73205,0.95486,0.89803,0.003268,0.003268,0.003268
70,52216.4,0.82808,1.03577,0.93504,0.48914,0.80432,0.55945,0.45244,0.73175,0.95452,0.89783,0.003169,0.003169,0.003169
71,710.367,0.8189,1.02683,0.93193,0.48898,0.80476,0.56004,0.45314,0.73096,0.95386,0.89759,0.00307,0.00307,0.00307
72,1422.3,0.82279,1.02905,0.93213,0.48915,0.80478,0.56061,0.45336,0.73056,0.95344,0.89733,0.002971,0.002971,0.002971
73,2135.31,0.8215,1.0303,0.93341,0.48904,0.8049,0.56095,0.45351,0.73004,0.953,0.8972,0.002872,0.002872,0.002872
74,2909.08,0.8213,1.02875,0.93277,0.48948,0.8052,0.56112,0.45359,0.72963,0.9528,0.89711,0.002773,0.002773,0.002773
75,3704.72,0.8195,1.02788,0.93244,0.48925,0.80589,0.56155,0.45404,0.7293,0.95222,0.89705,0.002674,0.002674,0.002674
76,4420.59,0.81842,1.02658,0.93187,0.48949,0.80666,0.56155,0.4543,0.72892,0.95182,0.89692,0.002575,0.002575,0.002575
77,5292.28,0.8164,1.02498,0.93141,0.48944,0.80781,0.56198,0.45475,0.72872,0.95113,0.8967,0.002476,0.002476,0.002476
78,6006.15,0.81363,1.02155,0.93014,0.48921,0.80948,0.56234,0.45523,0.72825,0.95046,0.89647,0.002377,0.002377,0.002377
79,6667.4,0.81392,1.02099,0.93001,0.48958,0.80865,0.56251,0.45523,0.72797,0.94991,0.89639,0.002278,0.002278,0.002278
80,7358.78,0.8118,1.01904,0.92903,0.48935,0.80881,0.5627,0.45543,0.7275,0.94934,0.8961,0.002179,0.002179,0.002179
81,8134.12,0.8092,1.01798,0.92822,0.48932,0.81028,0.56283,0.45562,0.72708,0.94875,0.89598,0.00208,0.00208,0.00208
82,8905.69,0.80718,1.01715,0.92788,0.48983,0.80962,0.56312,0.45582,0.72663,0.94829,0.89574,0.001981,0.001981,0.001981
83,9691.06,0.80507,1.01259,0.92717,0.48962,0.81021,0.56352,0.45613,0.72609,0.94765,0.8956,0.001882,0.001882,0.001882
84,10501.8,0.80343,1.01334,0.9265,0.4901,0.81013,0.56385,0.45638,0.7258,0.94686,0.89549,0.001783,0.001783,0.001783
85,11287.5,0.80256,1.00913,0.92532,0.49031,0.81038,0.56411,0.45662,0.72547,0.94628,0.89529,0.001684,0.001684,0.001684
86,12039.1,0.79893,1.00821,0.92471,0.4905,0.81045,0.5645,0.45707,0.7252,0.94556,0.89521,0.001585,0.001585,0.001585
87,12757.4,0.79829,1.00609,0.92519,0.49114,0.81071,0.56494,0.45762,0.72475,0.94482,0.89511,0.001486,0.001486,0.001486
88,13466,0.79532,1.00218,0.92364,0.49136,0.81029,0.56535,0.45807,0.72428,0.94413,0.89495,0.001387,0.001387,0.001387
89,14174.9,0.79373,1.00023,0.92321,0.49269,0.80677,0.56591,0.45861,0.72381,0.94343,0.8947,0.001288,0.001288,0.001288
90,15102.5,0.78976,0.99777,0.92237,0.49287,0.80844,0.56619,0.45891,0.72305,0.94284,0.89452,0.001189,0.001189,0.001189
91,15914.5,0.76065,0.95394,0.90752,0.49293,0.80956,0.56665,0.45918,0.72232,0.94205,0.89436,0.00109,0.00109,0.00109
92,16690.5,0.75636,0.94882,0.9059,0.49276,0.80923,0.56732,0.45992,0.72125,0.94092,0.89406,0.000991,0.000991,0.000991
93,17458.1,0.75271,0.94476,0.90424,0.49362,0.80976,0.56758,0.46022,0.72022,0.93991,0.89377,0.000892,0.000892,0.000892
94,18229.1,0.74924,0.94041,0.90326,0.49332,0.81215,0.56825,0.46102,0.71951,0.93868,0.89354,0.000793,0.000793,0.000793
95,19011.4,0.74533,0.93681,0.90168,0.49376,0.81204,0.56876,0.46179,0.71879,0.93764,0.89343,0.000694,0.000694,0.000694
96,19704.1,0.74265,0.93288,0.90065,0.49394,0.81297,0.56927,0.46224,0.71812,0.93668,0.89314,0.000595,0.000595,0.000595
