epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,4400,1.25077,2.86912,1.33746,1.19736,0.72315,0.54927,0.63274,0.4464,0.69785,0.51435,0.57887,0.35415,1.11438,2.74231,1.09442,1.11499,0.007129,0.007129,0.007129
31,4535.89,1.24586,2.86973,1.33584,1.1943,0.69831,0.56945,0.64212,0.45083,0.69688,0.51724,0.58532,0.35853,1.10908,2.73703,1.08375,1.11264,0.00703,0.00703,0.00703
32,4671.17,1.24787,2.85793,1.32435,1.19182,0.70975,0.55951,0.64134,0.45561,0.71926,0.51073,0.58987,0.3603,1.1115,2.74271,1.08186,1.11228,0.006931,0.006931,0.006931
33,4814.25,1.24355,2.86772,1.32259,1.19294,0.72478,0.55905,0.65206,0.45995,0.72027,0.5282,0.60039,0.36368,1.10827,2.73635,1.06906,1.10939,0.006832,0.006832,0.006832
34,4967.67,1.23253,2.83432,1.3108,1.18612,0.73619,0.55389,0.65109,0.46401,0.73165,0.51086,0.59808,0.36923,1.096,2.71316,1.05847,1.10506,0.006733,0.006733,0.006733
35,5113.83,1.23537,2.84751,1.30548,1.19072,0.7012,0.57078,0.64978,0.46186,0.69737,0.53176,0.59755,0.36939,1.09566,2.71276,1.05797,1.10514,0.006634,0.006634,0.006634
36,5258.03,1.22415,2.83717,1.29651,1.18449,0.7256,0.55701,0.64955,0.46389,0.70657,0.52735,0.59712,0.36842,1.09575,2.72457,1.0564,1.10417,0.006535,0.006535,0.006535
37,5398.75,1.22964,2.83685,1.29413,1.18521,0.72613,0.5525,0.64775,0.46524,0.73004,0.50793,0.59641,0.3666,1.08692,2.71517,1.05221,1.09923,0.006436,0.006436,0.006436
38,5540.46,1.22623,2.82894,1.29048,1.17897,0.71003,0.5628,0.64586,0.46416,0.69565,0.52482,0.59836,0.36763,1.09034,2.71236,1.04583,1.1004,0.006337,0.006337,0.006337
39,5681.63,1.22745,2.83437,1.28263,1.17732,0.70854,0.56287,0.64734,0.46454,0.71114,0.52962,0.60034,0.36879,1.09095,2.69891,1.04334,1.09547,0.006238,0.006238,0.006238
